label	ENSMUSG00000000301.16	ENSMUSG00000003051.13	ENSMUSG00000004359.16	ENSMUSG00000004610.4	ENSMUSG00000005054.6	ENSMUSG00000006056.13	ENSMUSG00000006356.10	ENSMUSG00000006360.11	ENSMUSG00000008668.14	ENSMUSG00000014503.14	ENSMUSG00000015656.16	ENSMUSG00000017009.3	ENSMUSG00000018593.12	ENSMUSG00000019139.9	ENSMUSG00000020407.13	ENSMUSG00000020633.13	ENSMUSG00000020644.8	ENSMUSG00000021395.10	ENSMUSG00000021456.7	ENSMUSG00000021520.4	ENSMUSG00000021591.7	ENSMUSG00000023043.6	ENSMUSG00000025351.13	ENSMUSG00000025815.13	ENSMUSG00000026031.15	ENSMUSG00000026246.12	ENSMUSG00000026547.15	ENSMUSG00000027533.10	ENSMUSG00000027907.4	ENSMUSG00000028494.12	ENSMUSG00000028617.10	ENSMUSG00000028773.8	ENSMUSG00000029223.12	ENSMUSG00000029304.14	ENSMUSG00000029394.11	ENSMUSG00000029580.14	ENSMUSG00000029614.13	ENSMUSG00000029762.6	ENSMUSG00000030246.11	ENSMUSG00000030532.6	ENSMUSG00000030672.12	ENSMUSG00000030744.13	ENSMUSG00000031765.7	ENSMUSG00000031812.16	ENSMUSG00000031843.1	ENSMUSG00000031950.7	ENSMUSG00000032056.9	ENSMUSG00000032191.5	ENSMUSG00000032348.5	ENSMUSG00000032623.9	ENSMUSG00000032788.14	ENSMUSG00000033213.16	ENSMUSG00000034127.14	ENSMUSG00000034391.10	ENSMUSG00000034892.8	ENSMUSG00000035191.15	ENSMUSG00000036036.15	ENSMUSG00000038217.13	ENSMUSG00000038750.12	ENSMUSG00000038925.12	ENSMUSG00000039103.12	ENSMUSG00000039307.16	ENSMUSG00000039382.12	ENSMUSG00000040413.15	ENSMUSG00000040952.16	ENSMUSG00000041359.14	ENSMUSG00000041583.8	ENSMUSG00000041857.10	ENSMUSG00000041966.18	ENSMUSG00000041995.7	ENSMUSG00000043716.13	ENSMUSG00000044712.15	ENSMUSG00000045104.8	ENSMUSG00000045291.8	ENSMUSG00000046323.8	ENSMUSG00000047215.14	ENSMUSG00000048108.13	ENSMUSG00000049382.9	ENSMUSG00000049775.16	ENSMUSG00000050621.6	ENSMUSG00000050737.13	ENSMUSG00000050810.8	ENSMUSG00000051159.16	ENSMUSG00000052477.15	ENSMUSG00000053964.17	ENSMUSG00000053965.10	ENSMUSG00000054310.16	ENSMUSG00000055933.13	ENSMUSG00000057657.3	ENSMUSG00000057666.18	ENSMUSG00000060143.6	ENSMUSG00000060461.5	ENSMUSG00000061787.15	ENSMUSG00000062081.6	ENSMUSG00000062275.7	ENSMUSG00000062825.15	ENSMUSG00000062867.13	ENSMUSG00000064010.12	ENSMUSG00000065353.1	ENSMUSG00000066359.5	ENSMUSG00000066463.12	ENSMUSG00000066478.3	ENSMUSG00000068220.5	ENSMUSG00000069117.3	ENSMUSG00000069324.5	ENSMUSG00000069678.10	ENSMUSG00000069682.5	ENSMUSG00000070034.13	ENSMUSG00000071041.4	ENSMUSG00000071644.10	ENSMUSG00000073294.4	ENSMUSG00000073628.5	ENSMUSG00000074207.10	ENSMUSG00000074365.13	ENSMUSG00000074501.5	ENSMUSG00000074768.5	ENSMUSG00000074783.10	ENSMUSG00000075023.11	ENSMUSG00000075706.10	ENSMUSG00000076441.9	ENSMUSG00000076937.3	ENSMUSG00000078238.4	ENSMUSG00000078636.4	ENSMUSG00000079042.9	ENSMUSG00000079162.8	ENSMUSG00000079192.2	ENSMUSG00000079808.3	ENSMUSG00000080241.3	ENSMUSG00000080921.4	ENSMUSG00000080970.1	ENSMUSG00000081249.3	ENSMUSG00000081586.3	ENSMUSG00000081766.3	ENSMUSG00000082475.1	ENSMUSG00000083068.1	ENSMUSG00000083410.1	ENSMUSG00000084034.1	ENSMUSG00000084349.3	ENSMUSG00000084353.1	ENSMUSG00000084824.1	ENSMUSG00000085079.3	ENSMUSG00000085973.1	ENSMUSG00000086130.1	ENSMUSG00000089716.7	ENSMUSG00000090467.3	ENSMUSG00000090693.3	ENSMUSG00000091269.1	ENSMUSG00000092341.2	ENSMUSG00000092358.1	ENSMUSG00000092806.2	ENSMUSG00000093674.7	ENSMUSG00000094005.1	ENSMUSG00000094041.1	ENSMUSG00000094467.1	ENSMUSG00000094484.2	ENSMUSG00000094708.1	ENSMUSG00000094807.2	ENSMUSG00000095136.1	ENSMUSG00000095291.1	ENSMUSG00000095434.1	ENSMUSG00000095672.1	ENSMUSG00000095674.1	ENSMUSG00000095680.1	ENSMUSG00000095799.1	ENSMUSG00000095937.1	ENSMUSG00000096276.8	ENSMUSG00000096363.1	ENSMUSG00000096483.1	ENSMUSG00000096528.1	ENSMUSG00000096544.2	ENSMUSG00000096745.1	ENSMUSG00000099021.1	ENSMUSG00000099250.1	ENSMUSG00000099693.1	ENSMUSG00000100755.1	ENSMUSG00000100862.1	ENSMUSG00000101878.1	ENSMUSG00000102070.1	ENSMUSG00000102917.1	ENSMUSG00000103998.1	ENSMUSG00000105361.1	ENSMUSG00000105880.1	ENSMUSG00000106037.1	ENSMUSG00000106634.1	ENSMUSG00000107521.1	ENSMUSG00000108473.1	ENSMUSG00000108980.1
4-cell stage blastomere	6.4361	3.4764	6.0543	5.3345	4.5545	4.7035	2.9957	2.9957	6.8177	3.1504	7.5474	2.9957	3.0092	6.0861	2.9957	6.2336	3.1187	4.4434	3.9596	5.1543	2.9957	2.9957	6.7276	8.9086	5.236	6.3063	3.0042	3	3.6571	4.4663	6.5278	5.3053	4.3009	2.9957	6.5948	7.7079	8.1737	2.9957	3.1174	7.8841	4.3577	7.3229	6.3767	8.3468	4.1356	7.2879	3.1074	3.0295	3.0186	3.01	6.585	2.9957	3.4777	7.354	6.2697	3.793	3.7707	6.0914	3.8062	3.0548	4.5934	6.41	7.2594	7.0887	7.7317	3.3862	6.825	2.9957	7.5328	4.1228	7.5165	7.3025	3.1051	3.3274	9.5291	7.1584	7.2836	2.9957	3.6358	7.222	3.0355	3.2896	6.7915	6.7277	2.9957	5.3417	3.0987	2.9957	6.1777	5.638	7.0657	7.576	6.6945	8.6697	3.0616	6.3825	8.1658	2.9957	5.8948	3.0916	4.1811	6.0918	2.9957	6.4012	4.979	5.5132	6.7303	5.9887	6.9371	5.572	3.0826	6.5108	2.9957	7.1672	7.9158	5.4636	6.9435	4.0401	6.3997	4.0974	3.0126	4.5804	4.1477	4.0333	7.1705	7.7582	6.7085	8.2846	6.4379	2.9957	8.2912	5.7542	4.8514	7.2534	7.0233	6.5546	8.4376	6.4959	8.925	7.994	3.3201	5.4821	6.7562	6.1025	5.9055	7.2804	3.309	4.8499	7.2342	6.2066	8.8734	7.223	6.2066	6.4937	5.2912	2.9957	6.2066	7.552	6.687	6.2066	6.5225	6.2066	7.2279	4.2684	2.9957	5.364	7.3942	8.2511	6.7276	8.9461	7.4332	3.5732	3.5732	8.1418	7.1464	7.9554	7.3638	7.3789	7.8866	6.2041	9.8925	8.6492	7.0715	7.4554	7.3644	5.7556	6.5438
4-cell stage blastomere	6.7547	2.9957	5.9044	5.1742	3.744	4.8322	3.012	2.9985	7.306	3.4697	7.4586	2.9999	3.8052	5.249	2.9957	5.8733	3.5094	4.4569	3.4367	5.9802	2.9957	2.9957	7.4939	8.4718	5.2754	6.7322	4.4432	2.9957	2.9957	4.0588	5.9007	4.4111	3.0061	2.9957	6.5795	8.0587	8.1397	2.9957	4.0315	7.3893	5.9688	7.2747	7.1634	8.3191	4.6084	7.2131	3.583	3.6955	4.1737	3.536	6.3277	4.0786	3.5435	7.2358	7.1028	2.9985	4.5824	5.966	4.7232	3.0777	5.4613	5.8331	6.0839	7.1782	7.9655	3.0031	6.0072	3.8447	6.6946	4.003	7.6595	7.5611	4.2309	3.7887	9.0639	7.3488	6.7584	2.9957	3.0025	7.8255	3.232	3.8805	6.651	6.913	2.9957	5.0688	3.4237	3.2441	6.6855	5.2896	6.6988	7.9627	7.2721	8.2812	3.8089	4.8584	8.5026	2.9957	5.538	3.2588	5.1063	5.6735	2.9957	6.7278	5.1507	5.9676	6.1245	6.4328	6.6521	5.0548	3.0019	5.7687	2.9957	6.992	7.9393	4.9741	6.5784	4.5838	6.14	3.0086	3.682	2.9957	4.4392	4.4868	7.1101	7.8593	6.6999	7.7394	7.6583	2.9957	8.3693	6.258	5.5765	7.5068	6.8315	6.292	8.5976	6.5983	8.5875	7.5481	4.8402	4.9588	6.1904	5.7933	6.2176	7.2706	5.047	6.544	7.0617	6.0821	9.2892	7.2635	6.0808	6.3379	5.0346	2.9957	6.0808	7.8237	7.0834	6.0821	6.6421	6.0808	7.4895	4.0406	2.9957	4.3082	7.6674	8.5079	6.7401	8.4212	7.6149	3.6458	3.6458	8.1559	7.7285	6.244	6.714	3.5417	7.3247	5.961	9.9432	8.3689	7.2441	7.0427	6.9002	6.0035	6.541
4-cell stage blastomere	6.6776	3.6749	6.6217	4.9557	4.9806	5.1054	2.9957	2.9957	7.3599	3.0452	7.6227	2.9957	3.0451	5.4273	2.9957	5.2375	3.4852	4.096	3.2821	5.8054	2.9957	2.9957	7.4691	7.7331	5.1955	6.9056	3.9153	3.7018	2.9957	3.0406	6.2003	5.8865	4.365	2.9957	7.0637	8.1069	8.1547	2.9957	3.9641	7.2836	5.9595	7.3408	7.2782	8.1889	4.4478	6.8954	3.1994	3.2749	2.9957	2.9957	6.5361	2.9957	3.5459	7.3878	7.0377	3.0309	4.0414	5.338	4.1916	2.9957	4.2547	5.9589	6.5337	7.0329	8.2679	3.0027	6.3529	2.9957	6.2702	4.3654	7.6917	7.6541	4.6149	4.0174	8.6797	7.3685	6.2904	2.9957	3.5137	7.9835	3.0455	3.8507	6.5975	6.857	2.9957	5.062	3.7479	3.7045	7.0252	5.7081	6.6669	8.1374	7.3099	8.3813	3.8235	6.2669	8.3914	2.9957	5.615	3.295	4.0843	5.7648	2.9957	7.1478	5.1092	6.3495	6.6049	6.0612	6.9224	5.4227	3.3237	6.3884	2.9957	7.4207	7.9963	5.0237	5.8614	4.1122	5.5709	3.0566	3.0048	2.9957	4.7359	3.1842	7.4106	8.1403	6.464	7.8375	7.3064	2.9957	8.414	6.1863	5.5265	7.6149	6.8185	6.3948	8.3636	6.6302	8.6241	6.7988	4.5616	4.9521	6.2211	5.9829	6.4412	7.295	4.6716	5.522	7.5031	5.8195	9.3479	7.4831	5.8195	6.0295	4.9716	4.1923	5.8195	7.9173	7.4134	5.8195	6.6311	5.8195	7.8302	2.9957	4.1923	4.6616	7.6574	8.7346	6.6419	8.3067	7.839	3.6138	3.6138	7.6819	7.9166	4.6659	6.7608	6.3424	7.424	5.6355	10.1816	7.8344	7.3476	6.6971	7.0737	5.6325	7.2627
4-cell stage blastomere	5.1436	2.9957	6.6524	4.7604	5.3193	4.0865	2.9957	2.9979	7.3727	3.0045	7.3705	3.2947	3.0475	6.0801	2.9957	6.1882	2.9957	4.3304	4.1964	5.489	2.9957	2.9957	6.7139	8.7301	4.5908	5.7891	3.0022	3.7497	2.9957	3.0952	6.1745	4.7041	3.2143	2.9957	6.4364	8.1689	8.3117	2.9957	4.8148	6.9791	5.7562	7.4337	7.3668	8.5621	3.8843	6.9768	3.7749	3.4996	2.9957	3.6388	6.5314	3.5796	3.3407	7.4168	7.1487	3.3782	3.2801	5.4219	4.4436	3.1189	4.4344	5.7103	7.0907	7.046	8.3505	2.9957	7.0083	2.9957	7.2215	3.6249	7.8484	6.7328	5.2258	3.5406	9.0415	7.3471	6.9364	2.9957	2.9957	8	3.0202	3.1707	7.4618	6.6256	2.9957	5.1527	2.9986	2.9957	6.8145	4.0541	7.7705	8.3882	7.6899	8.9296	2.9957	6.5005	8.4669	2.9957	5.7301	2.9957	4.2262	6.6256	3.5867	7.1396	4.7068	5.7039	6.6959	6.0189	7.2216	5.1083	3.9097	5.5887	2.9957	7.13	7.9847	5.2694	6.8946	3.0955	5.5345	2.9957	2.9957	2.9957	2.9957	3.9023	7.3842	7.9215	6.4429	7.8183	7.7447	2.9957	8.9966	5.7298	5.6257	7.5076	6.581	6.0761	8.9642	6.0601	9.5589	7.7512	4.3338	5.9775	6.2107	5.9522	6.4816	7.3338	4.6203	5.5818	7.0772	5.4724	9.5705	6.9517	5.4724	4.4901	4.7006	3.8173	5.4724	8.2161	7.0112	5.4724	6.619	5.4724	7.5695	3.3316	3.8173	3.7878	8.0496	8.8244	6.4033	8.2462	8.0018	3.6829	3.6829	7.4819	7.9783	5.1122	7.2534	6.5286	7.1146	5.5097	10.2689	8.6538	7.6112	6.3953	7.3209	5.7324	6.324
4-cell stage blastomere	5.7391	2.9957	7.1918	4.3181	4.9663	4.7239	4.4071	2.9957	6.9532	3.6595	7.3881	3.1289	3.0258	5.3454	3.1053	6.3452	2.9989	4.5156	3.2975	5.6838	3.0132	2.9985	6.9804	9.0308	4.6668	6.7701	2.9983	3.4212	3.8615	3.0034	5.8756	5.2216	4.9282	2.9957	6.4662	7.8038	8.0146	2.9957	4.2531	7.3704	5.7798	7.5004	6.8229	8.4017	3.8	7.046	3.0078	3.1048	2.9957	3.0055	6.6514	2.9957	3.5365	7.2714	6.4167	2.9957	4.634	5.5061	4.4315	2.9986	4.8793	5.7068	6.6535	7.0983	7.8814	3.8649	7.0205	3.015	7.4234	3.298	7.7753	7.2635	4.6991	3.0491	9.2014	7.2373	7.3786	2.9957	2.9957	7.3121	2.9987	3.7238	7.411	6.6841	2.9957	5.275	3.6381	2.9957	6.3041	4.7094	6.3061	8.0789	7.2696	8.7516	3.8091	6.7343	8.5347	2.9957	5.7615	3.2532	3.9422	6.4433	2.9957	6.4514	4.525	5.7356	6.4574	6.1337	7.1782	5.2964	3.1118	5.6346	2.9957	7.0872	7.8112	5.4052	6.77	4.1152	4.172	2.9957	2.9957	4.1646	3.7571	3.3696	7.1959	7.8094	6.4924	8.3754	6.944	2.9957	8.5451	6.2806	5.473	7.66	6.8505	6.3633	8.7311	6.7147	8.9123	8.008	3.5639	5.9393	6.1927	5.6981	5.4944	7.4826	4.5298	5.6724	7.053	5.5838	9.1705	7.179	5.5836	5.2544	4.9893	3.1548	5.5836	8.2609	7.5123	5.5838	6.3723	5.5836	7.2213	4.3276	3.1548	4.0305	7.7475	8.5897	6.7922	8.5269	7.7007	3.6654	3.6654	8.0839	7.4747	3.148	6.9217	4.5384	7.3428	5.7316	10.0038	8.5507	7.223	6.6364	7.1165	6.2113	6.605
4-cell stage blastomere	6.2504	2.9971	5.2933	4.7382	4.0986	4.5493	2.9957	3.3159	7.2041	3.4003	7.1604	2.9957	3.0324	5.9855	3.3168	6.5358	3.0947	3.9983	3.9526	5.2082	2.9957	2.9977	6.7904	9.07	5.0947	6.5848	2.9993	2.9973	3.0033	2.9987	5.5674	2.9957	4.5772	2.9957	5.5712	7.624	8.0962	2.9957	4.1816	6.9739	4.9441	7.498	7.5657	8.4063	4.0977	7.0685	3.6648	3.122	2.9957	3.0403	6.5349	3.1094	2.9957	7.3015	7.6107	3.0476	4.5766	5.1631	3.3439	3.6039	4.5141	5.5658	6.303	6.7329	8.3499	4.2398	6.5168	3.0161	7.6744	3.6856	7.5447	6.7094	4.7842	3.585	8.7535	7.1999	7.3861	2.9957	3.5697	8.2103	2.9998	3.6707	7.021	6.5956	2.9957	5.1559	3.0551	2.9957	6.6568	4.006	8.1151	7.6796	7.4743	8.6219	3.6963	6.4665	8.2929	2.9957	5.8408	2.9986	4.4926	6.4593	2.9997	6.885	4.983	5.8789	6.7707	6.0286	6.5459	5.0096	3.0641	4.86	2.9957	7.1859	8.0491	5.0038	7.2841	3.8361	5.5443	2.9957	3.922	2.9957	3.6331	3.3489	6.9547	7.5799	6.5507	7.8593	8.0897	2.9957	8.7134	5.5836	5.4538	7.4248	6.3102	5.8314	8.9829	6.017	8.6873	8.1613	3.8096	6.149	6.1744	5.5849	6.868	7.2499	4.0008	5.6643	7.3201	5.6853	9.6536	7.7671	5.6853	4.8448	4.8471	3.1989	5.6853	8.2365	7.5278	5.6853	6.6882	5.6853	8.0834	3.6831	3.1989	3.6421	7.9801	9.0416	6.0627	8.7811	8.0641	3.9706	3.9706	7.599	7.7977	6.9145	7.2228	6.9164	7.1881	5.657	10.2045	9.0911	7.6533	6.5619	7.1163	6.5517	6.1488
4-cell stage blastomere	6.4428	2.9957	6.4912	3.017	4.3044	5.5321	3.0032	3.6956	6.887	3.263	5.9104	2.9993	3.4338	5.3322	2.9957	7.1728	3.5303	4.1938	3.9688	5.7213	2.9957	2.9957	6.9252	9.55	5.2134	6.4418	2.9957	3.0009	3.6239	4.5418	5.9678	2.9957	4.7714	2.9957	6.6837	8.0291	8.0104	2.9957	4.6642	7.0758	5.3364	6.8242	6.6223	8.1555	4.1693	7.0903	3.8964	3.7569	3.9754	3.0008	6.3966	2.9957	2.9957	6.9775	6.852	3.4795	3.7419	5.6568	3.7059	2.9957	4.9433	5.4756	6.0293	6.6932	7.9355	3.6957	6.4258	2.9957	6.8354	4.3468	7.2777	6.6588	4.8774	3.0906	9.0967	7.2914	7.5123	2.9957	3.5231	7.7306	3.0205	3.9652	6.4772	6.9561	2.9957	5.1882	3.2509	2.9957	6.2129	3.5767	6.6062	8.3453	7.3766	8.0843	2.9957	5.907	8.2222	2.9957	6.1968	2.9957	5.2031	5.9479	2.9957	6.2942	4.37	6.6303	5.9257	6.4212	6.2889	4.1791	3.9342	6.0075	2.9957	6.9568	8.0574	4.5891	7.792	3.6181	6.0885	2.9957	3.0039	2.9957	3.4045	4.1522	6.2757	7.9763	6.7996	8.0269	7.2925	2.9957	8.6893	6.6869	6.8059	7.3256	6.108	5.2437	8.3206	5.6146	8.8991	8.7133	5.0324	6.2848	5.9187	5.6054	5.9454	6.5732	2.9957	4.3246	6.7145	6.1474	8.9776	7.4721	6.1473	5.1587	4.8497	2.9957	6.1473	7.8157	7.5607	6.1474	7.0312	6.1472	7.9306	6.2504	2.9957	3.8464	8.0305	8.8361	6.1185	7.2686	8.1072	4.1627	4.1627	8.1219	7.5513	5.9527	6.6125	3.0132	6.9243	5.7435	9.2705	9.519	7.438	6.6421	6.9459	7.2274	5.4707
4-cell stage blastomere	6.1528	2.9957	6.2515	5.8583	4.1334	5.0992	3.3244	2.9957	7.0635	3.0236	7.1692	3.2986	2.9984	5.2459	2.9957	6.5014	3.5448	4.0699	3.8103	5.6909	3.0443	2.9957	6.5305	9.0082	4.8849	6.5478	3.0268	2.9974	2.9957	4.4161	5.7913	2.9957	4.596	2.9957	7.0489	7.9172	7.8567	2.9957	4.3688	6.6963	5.7933	7.144	7.3699	8.3176	4.6163	7.2426	3.8376	3.258	3.0026	3.3921	6.6083	2.9957	3.6403	7.2446	6.7115	3.0285	3.5838	4.8901	3.8695	3.0612	4.3453	5.2755	6.5224	6.5864	7.9668	3.4652	6.5182	2.9957	6.8567	4.6441	7.4876	6.2789	4.662	3.1987	8.9913	7.084	7.0895	3.0369	2.9957	7.6089	3.0112	3.5767	6.8088	7.2656	2.9957	5.0387	2.9957	2.9957	6.3883	4.8928	6.8786	8.2418	7.4732	8.5435	3.2617	5.4139	8.4196	2.9957	5.5242	3.0019	5.0859	6.6723	2.9957	6.4713	5.3001	6.4868	6.4405	6.3227	6.6787	5.0782	3.347	6.8444	2.9957	7.1691	8.1595	5.4725	7.0684	3.2018	6.1086	2.9957	3.0352	2.9957	3.577	3.4775	6.5792	8.2502	6.8194	8.1405	7.3326	2.9957	8.9946	6.3673	5.8705	7.4092	6.3279	5.6972	8.8242	5.9102	8.5532	8.0568	4.5173	6.252	5.7813	5.4534	6.3498	6.6904	2.9957	4.7676	7.1358	5.4953	9.3582	7.3164	5.4953	4.6926	4.4808	3.4533	5.4953	8.1081	7.1479	5.4953	6.9197	5.4952	7.9653	3.4248	3.4533	4.4352	8.0186	8.9307	6.2509	7.7076	7.9972	3.7941	3.7941	8.2405	7.3368	6.6743	7.0936	6.8167	6.4209	5.1434	10.4419	9.0015	7.324	6.0282	6.8487	6.5548	6.1791
4-cell stage blastomere	6.3104	2.9957	7.1675	5.2316	3.9693	4.9358	3.3353	2.9981	6.9197	3.439	6.5593	2.9986	3.069	5.0819	2.9957	6.9109	3.1013	3.9395	2.9957	5.1144	2.9957	2.9983	6.7845	9.3692	4.7773	6.5963	3.1647	3.3786	2.9957	3.103	5.8293	4.8144	5.2651	2.9957	6.9296	8.397	8.0062	2.9957	4.5701	6.6239	5.2549	7.2381	7.1591	8.3106	4.7439	6.6813	3.4322	3.0735	2.9957	3.7382	6.645	2.9957	3.657	7.0419	7.5133	3.046	3.3056	4.842	4.6895	3.1195	4.7839	5.3275	6.3248	6.7631	8.0256	3.3865	6.6363	3.4714	7.3818	3.8784	7.2396	6.3547	5.1686	4.3584	8.8936	6.8726	7.4902	2.9957	2.9957	7.9862	3.022	3.9855	7.2603	6.8934	2.9957	5.3612	3.4152	3.003	6.5474	4.4044	6.6755	7.9928	7.4395	8.566	3.4015	6.345	8.2778	2.9957	5.6927	3.484	4.916	6.1089	3.0008	6.6108	4.7528	6.3607	6.2444	6.0498	6.6568	4.7791	3.5049	6.9215	2.9957	7.0401	7.8478	5.3098	7.519	3.7244	6.0285	2.9957	2.9957	2.9957	3.8582	3.5876	6.6238	7.9755	6.6426	7.8784	8.0165	2.9957	8.9151	6.2271	6.8327	7.0037	6.2517	5.8222	8.7864	5.4701	8.6117	8.519	4.7151	6.7517	5.8207	5.5358	6.5776	6.7386	3.996	4.8715	6.9235	5.3662	9.3593	7.5522	5.3662	5.4996	4.5146	3.7685	5.3662	7.9517	7.7533	5.3662	6.8316	5.3662	7.8435	5.1017	3.7685	3.8348	7.9934	8.9432	6.2761	7.5606	7.8143	4.1567	4.1567	7.7857	7.8078	3.1507	6.9664	4.8429	6.7606	5.3116	10.4053	9.4396	7.1887	6.0997	6.9269	6.9166	6.1086
4-cell stage blastomere	6.4366	2.9957	7.2931	4.4483	3.0038	4.5354	2.9957	2.9957	6.7524	4.1046	6.825	2.9972	3.0904	4.5632	3.0062	7.2612	2.9957	4.6681	2.9957	3.6319	3.0014	3.6003	6.9827	9.9138	5.1231	6.0616	2.9983	2.9968	4.4291	4.5257	5.9711	2.9957	5.425	2.9957	7.0806	8.136	7.729	2.9957	4.268	7.4772	5.3108	6.8733	5.7467	8.1577	4.2246	6.8981	4.2539	3.4792	3.8613	3.9307	6.5298	2.9957	3.0387	7.1241	5.9904	3.5648	4.2812	5.7065	5.2488	3.0505	5.7934	5.9262	5.7403	6.5462	7.76	3.2319	6.472	2.9957	8.1928	3.7994	7.1725	6.8556	4.4688	4.4492	9.1062	6.8449	8.0893	2.9957	2.9957	7.1398	3.0362	3.6676	6.6427	7.1692	2.9957	5.1201	3.4446	2.9957	6.2422	4.3896	6.4668	8.3205	6.8983	8.467	3.6374	5.7427	7.8127	2.9957	5.9504	3.3641	5.6843	6.1193	2.9957	6.4759	4.442	7.0089	6.262	6.5251	6.185	4.8654	3.5812	6.3984	2.9957	6.9713	7.8683	5.0798	7.8216	3.7254	5.4995	2.9957	4.059	5.0007	3.4966	3.78	6.5585	7.752	6.6867	8.1237	6.3252	2.9957	8.9128	7.1151	5.9209	6.961	6.0307	5.77	8.5628	5.7886	8.9756	8.9439	4.6572	6.5678	6.283	5.9731	5.6189	6.7768	4.5011	4.82	6.847	5.7559	8.7928	7.4568	5.7559	5.8889	4.9364	3.3128	5.7559	7.8576	7.8281	5.7559	6.8292	5.7559	7.6557	6.3002	3.3128	5.0439	7.8783	9.0439	5.9638	7.5069	7.8917	3.4759	3.4759	8.1253	7.3143	7.2149	7.6109	6.3887	7.3154	5.7964	10.2524	9.7072	7.2703	6.8312	6.9943	6.9054	5.7829
8-cell stage blastomere	7.609	3.6892	5.6081	5.9635	6.0651	5.9248	5.5872	4.3093	7.5714	3.0974	7.4866	4.3102	3.0054	7.2042	2.9957	3.8034	3.1151	3.2003	5.3774	6.6105	2.9957	2.9957	7.3098	6.1452	3.2882	7.1219	2.9957	4.7491	3.1615	3.1686	5.3112	5.7201	4.4759	2.9957	5.64	9.0532	8.7466	3.2519	3.665	3.6483	6.7344	7.7909	8.6227	8.3384	4.6195	7.3007	3.0388	3.0001	2.9957	2.9957	6.6323	3.9746	3.0737	7.2147	8.2916	2.9957	2.9957	3.1068	3.0076	2.9957	3.0297	3.0864	6.4117	7.0339	8.6446	3.0284	5.5369	2.9957	4.7787	3.1226	8.2567	7.0736	4.4037	3.0619	8.0793	7.6896	4.401	3.7438	2.9957	8.2524	4.5441	3.0604	6.2162	6.4803	2.9957	2.9977	2.9957	3.0115	7.4318	3.4148	7.9883	8.3492	7.9536	8.8938	3.006	6.0789	8.6614	2.9957	6.7112	2.9957	3.4354	7.1223	3.6461	7.8748	5.9973	3.9893	7.2921	5.9229	6.9905	6.5452	2.9957	6.8258	2.9957	7.659	6.7885	6.1912	5.2855	3.0298	6.843	5.815	3.0462	3.3113	2.9968	3.0048	6.4325	7.1533	6.199	7.5202	8.5878	2.9957	8.902	4.373	7.8309	8.012	6.3686	5.5934	8.8958	7.091	8.42	5.242	3.187	3.3753	3.3879	3.2681	7.3673	6.8626	4.9064	5.6367	7.9671	3.6875	9.4621	4.3072	3.6875	3.0882	3.0909	2.9957	3.6875	7.98	6.4055	3.6875	6.1266	3.6875	7.0178	2.9957	2.9957	3.0792	5.4106	7.9775	6.2961	9.0037	6.6929	3.8092	3.8092	7.4703	8.3948	4.2643	6.8275	5.8706	3.7584	3.4135	10.7999	6.2495	8.4362	3.4595	4.567	4.0252	6.919
8-cell stage blastomere	6.9618	3.3421	4.4213	5.9115	5.2716	6.3305	5.9063	4.6156	7.462	3.1399	7.6553	3.5761	3.0011	6.8073	2.9957	4.2533	3.022	3.4281	5.3376	6.5475	2.9957	2.9957	7.3442	6.2193	3.3193	7.2251	2.9957	3.5171	3.9178	2.9957	5.6991	4.5469	4.0807	2.9957	5.9779	9.2589	8.6488	2.9957	3.5698	4.3614	6.6784	7.7632	8.1637	8.4224	3.8973	7.5422	3.0106	3.0456	3.6053	2.997	6.1245	4.4812	2.9957	7.1519	8.2527	3.0762	3.7494	3.2155	2.9957	3.4285	4.2895	3.4046	5.9972	7.4818	8.4243	3.7739	5.4754	2.9988	4.6029	3.0382	8.2046	7.1719	4.0558	3.1597	8.1703	7.912	5.0939	3.8775	3.4952	8.1746	5.0936	3.0321	6.5199	5.9371	2.9957	3.002	2.9957	3.0235	7.2501	3.9219	7.9424	8.6133	8.0044	8.9802	3.1202	5.6242	8.2402	2.9957	6.7968	3.0374	3.0281	7.3612	3.4883	7.7592	6.0315	4.0973	7.279	5.655	6.7913	6.757	3.1334	5.3713	2.9957	7.832	6.2706	6.0343	4.9254	2.9957	6.5517	5.417	2.9957	4.0581	2.9957	2.9957	5.7633	6.1863	5.5972	7.8312	8.5217	2.9957	8.4058	4.2377	7.2583	8.121	6.625	6.264	9.0197	6.8371	8.668	5.4121	3.3274	3.3795	3.4754	3.8736	7.235	6.4426	5.5002	5.9947	7.9562	3.2915	9.7252	5.9673	3.2915	3.9225	3.1182	2.9957	3.2915	7.383	6.0246	3.2915	3.8447	3.2915	6.2893	2.9957	2.9957	3.0263	6.0503	7.8636	6.702	9.1265	6.352	3.4552	3.4552	7.4672	8.2358	3.0588	6.7967	5.2275	4.0865	3.1509	10.8112	6.4713	8.3576	3.5956	4.5588	4.565	6.7022
